P_ID,DEPTH,LOC,ORDER,I09,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I01,I03,I29,I31,ERRORS,STIMULI,POOL,SCORE,NUM_L,NUM_R,NUM_X,PROP_L,PROP_R,PROP_X,HAS_X
p1_038,3,C,m,,,,L,R,R,R,R,R,R,R,R,,,,L3,L2,L2,R1,1,1,prolific1,2374.864603174604,1,8,0,0.1111111111111111,0.8888888888888888,0.0,0
p1_038,3,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L2,L2,R1,R3,0,4,prolific1,2544.3444444444444,0,9,0,0.0,1.0,0.0,0
p1_038,2,L,a,L,L,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,2,prolific1,2513.9808465608467,2,0,7,0.2222222222222222,0.0,0.7777777777777778,1
p1_038,2,C,f,,,,X,X,X,X,X,X,X,R,R,,,,L,L,R,R,0,3,prolific1,2492.815052910053,0,2,7,0.0,0.2222222222222222,0.7777777777777778,1
p1_039,2,R,a,,,,,,,R,R,R,R,R,R,R,R,R,X,L,R,R,1,4,prolific1,2516.297262089762,0,9,0,0.0,1.0,0.0,0
p1_039,3,C,b,,,,L,L,L,L,L,L,R,R,R,,,,L2,L2,R1,L2,1,1,prolific1,2365.765214045214,6,3,0,0.6666666666666666,0.3333333333333333,0.0,0
p1_039,3,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,3,prolific1,2558.988888888889,0,9,0,0.0,1.0,0.0,0
p1_039,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,2,prolific1,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
p1_040,2,C,a,,,,R,R,R,R,R,R,R,R,R,,,,X,X,R,R,2,4,prolific1,2421.1298683723685,0,9,0,0.0,1.0,0.0,0
p1_040,3,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,1,prolific1,2558.988888888889,9,0,0,1.0,0.0,0.0,0
p1_040,3,R,f,,,,,,,L,L,L,L,L,L,L,L,R,L1,L1,L3,R1,1,3,prolific1,2381.0666666666666,8,1,0,0.8888888888888888,0.1111111111111111,0.0,0
p1_040,2,L,b,L,L,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,2,prolific1,2513.9808465608467,2,0,7,0.2222222222222222,0.0,0.7777777777777778,1
p1_041,2,R,f,,,,,,,X,L,X,L,R,R,R,R,X,X,L,X,X,3,2,prolific1,2310.924365079365,2,4,3,0.2222222222222222,0.4444444444444444,0.3333333333333333,1
p1_041,3,L,b,X,X,X,X,X,X,X,X,X,,,,,,,L1,L1,R1,R1,0,4,prolific1,2508.088888888889,0,0,9,0.0,0.0,1.0,1
p1_041,3,R,a,,,,,,,X,X,X,X,R,R,R,R,R,L1,L1,R1,R1,0,3,prolific1,2530.1444444444446,0,5,4,0.0,0.5555555555555556,0.4444444444444444,1
p1_041,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,1,prolific1,2506.0888888888894,0,0,9,0.0,0.0,1.0,1
p1_042,3,C,m,,,,R,R,R,R,R,R,R,R,R,,,,L2,L2,R1,R1,0,2,prolific1,2490.4944444444445,0,9,0,0.0,1.0,0.0,0
p1_042,3,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L3,L3,R1,R3,0,4,prolific1,2544.9333333333334,0,9,0,0.0,1.0,0.0,0
p1_042,2,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,prolific1,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
