P_ID,DEPTH,LOC,ORDER,I09,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I01,I03,I29,I31,ERRORS,STIMULI,POOL,SCORE,NUM_L,NUM_R,NUM_X,PROP_L,PROP_R,PROP_X,HAS_X
p2_073,2,L,b,X,X,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,1,prolific2,2506.088888888889,0,0,9,0.0,0.0,1.0,1
p2_073,3,R,f,,,,,,,X,X,X,X,X,X,X,X,R,L3,L1,R1,R1,0,3,prolific2,2511.5,0,1,8,0.0,0.1111111111111111,0.8888888888888888,1
p2_074,2,C,b,,,,R,R,R,R,R,R,X,X,X,,,,R,L,L,X,3,1,prolific2,2204.8779894179897,0,6,3,0.0,0.6666666666666666,0.3333333333333333,1
p2_074,2,R,m,,,,,,,L,R,R,R,X,R,R,R,R,L,L,R,R,0,4,prolific2,2508.1412074962072,1,7,1,0.1111111111111111,0.7777777777777778,0.1111111111111111,1
p2_074,3,C,f,,,,L,L,L,L,L,L,L,L,L,,,,L1,L1,R2,R2,0,3,prolific2,2495.072222222222,9,0,0,1.0,0.0,0.0,0
p2_074,3,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R2,R2,0,2,prolific2,2524.7824603174604,9,0,0,1.0,0.0,0.0,0
p2_075,3,C,b,,,,R,R,R,L,R,L,L,L,R,,,,L2,L1,R1,R1,0,2,prolific2,2344.459523809524,4,5,0,0.4444444444444444,0.5555555555555556,0.0,0
p2_075,2,R,a,,,,,,,X,X,X,X,X,X,X,R,R,L,L,R,R,0,4,prolific2,2513.9808465608467,0,2,7,0.0,0.2222222222222222,0.7777777777777778,1
p2_075,3,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,3,prolific2,2546.654761904762,0,9,0,0.0,1.0,0.0,0
p2_075,2,L,f,R,R,R,R,X,X,X,X,X,,,,,,,L,L,R,R,0,1,prolific2,2352.5838720538723,0,4,5,0.0,0.4444444444444444,0.5555555555555556,1
p2_076,3,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,4,prolific2,2558.988888888889,0,9,0,0.0,1.0,0.0,0
p2_076,2,C,f,,,,L,L,L,L,L,X,X,X,X,,,,L,L,R,R,0,1,prolific2,2477.1562578162584,5,0,4,0.5555555555555556,0.0,0.4444444444444444,1
p2_076,3,C,m,,,,L,L,L,L,L,L,L,L,L,,,,L1,L1,R2,R2,0,3,prolific2,2486.1,9,0,0,1.0,0.0,0.0,0
p2_076,2,L,a,L,L,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,2,prolific2,2513.9808465608467,2,0,7,0.2222222222222222,0.0,0.7777777777777778,1
p2_077,2,L,f,L,L,L,X,X,X,X,X,X,,,,,,,L,L,R,R,0,2,prolific2,2517.690396825397,3,0,6,0.3333333333333333,0.0,0.6666666666666666,1
p2_077,2,R,a,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,4,prolific2,2553.2817065342065,0,9,0,0.0,1.0,0.0,0
p2_077,3,R,m,,,,,,,L,L,L,X,X,X,R,R,R,L1,L1,R1,R1,0,1,prolific2,2478.648888888889,3,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1
p2_077,3,C,b,,,,L,X,X,X,X,X,X,X,X,,,,L3,L3,R1,R1,0,3,prolific2,2497.7166666666667,1,0,8,0.1111111111111111,0.0,0.8888888888888888,1
p2_079,3,L,a,L,L,X,X,X,X,X,X,X,,,,,,,L1,L1,R1,R1,0,2,prolific2,2517.3,2,0,7,0.2222222222222222,0.0,0.7777777777777778,1
p2_079,3,C,f,,,,L,L,L,L,L,L,L,L,R,,,,L1,L1,R1,R1,0,3,prolific2,2494.561111111111,8,1,0,0.8888888888888888,0.1111111111111111,0.0,0
p2_079,2,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L,L,R,R,0,4,prolific2,2477.903201705702,0,9,0,0.0,1.0,0.0,0
p2_079,2,R,m,,,,,,,L,X,X,X,X,X,X,R,R,L,L,R,R,0,1,prolific2,2496.511560846561,1,2,6,0.1111111111111111,0.2222222222222222,0.6666666666666666,1
p2_080,3,R,a,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,2,prolific2,2558.988888888889,0,9,0,0.0,1.0,0.0,0
p2_080,2,R,f,,,,,,,X,X,X,X,X,X,R,X,X,L,L,R,R,0,3,prolific2,2494.613412698413,0,1,8,0.0,0.1111111111111111,0.8888888888888888,1
p2_080,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,4,prolific2,2506.0888888888894,0,0,9,0.0,0.0,1.0,1
p2_080,3,L,b,L,L,X,X,L,X,X,X,X,,,,,,,L1,L1,R1,R1,0,1,prolific2,2505.903333333333,3,0,6,0.3333333333333333,0.0,0.6666666666666666,1
p2_082,3,R,f,,,,,,,X,X,X,X,X,R,R,R,R,L1,L1,R1,L3,1,4,prolific2,2428.4222222222224,0,4,5,0.0,0.4444444444444444,0.5555555555555556,1
p2_082,2,L,b,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,prolific2,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
p2_082,2,C,a,,,,L,L,L,L,L,X,X,X,X,,,,L,L,R,R,0,1,prolific2,2477.1562578162584,5,0,4,0.5555555555555556,0.0,0.4444444444444444,1
p2_082,3,L,m,L,L,X,X,X,X,X,R,R,,,,,,,L1,L1,R1,R1,0,2,prolific2,2487.45,2,2,5,0.2222222222222222,0.2222222222222222,0.5555555555555556,1
p2_083,3,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L1,L1,R1,R1,0,2,prolific2,2497.738888888889,0,9,0,0.0,1.0,0.0,0
p2_083,2,R,a,,,,,,,X,X,X,X,X,X,X,R,R,L,L,R,R,0,3,prolific2,2513.9808465608467,0,2,7,0.0,0.2222222222222222,0.7777777777777778,1
p2_083,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,4,prolific2,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
p2_083,3,R,m,,,,,,,L,L,X,X,X,X,X,X,R,L1,L1,R1,R1,0,1,prolific2,2481.75,2,1,6,0.2222222222222222,0.1111111111111111,0.6666666666666666,1
p2_084,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,4,prolific2,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
p2_084,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,2,prolific2,2553.2817065342065,0,9,0,0.0,1.0,0.0,0
p2_084,3,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,3,prolific2,2558.988888888889,9,0,0,1.0,0.0,0.0,0
p2_084,3,C,a,,,,L,L,L,L,R,R,R,R,R,,,,L1,L1,R2,R1,0,1,prolific2,2450.9311111111115,4,5,0,0.4444444444444444,0.5555555555555556,0.0,0
p2_086,3,C,f,,,,X,X,X,X,X,X,X,X,X,,,,L1,L1,R1,R3,0,4,prolific2,2506.9111111111115,0,0,9,0.0,0.0,1.0,1
p2_086,2,C,b,,,,X,X,X,X,R,R,R,R,R,,,,L,L,R,R,0,2,prolific2,2477.1562578162584,0,5,4,0.0,0.5555555555555556,0.4444444444444444,1
p2_086,2,R,m,,,,,,,X,X,X,X,X,X,X,X,X,L,L,R,R,0,3,prolific2,2506.0888888888885,0,0,9,0.0,0.0,1.0,1
p2_086,3,L,a,L,L,L,L,L,L,L,L,X,,,,,,,L1,L1,R1,R1,0,1,prolific2,2527.070793650794,8,0,1,0.8888888888888888,0.0,0.1111111111111111,1
p2_087,3,C,m,,,,R,L,R,R,L,L,L,R,R,,,,L1,L1,R1,R1,0,1,prolific2,2378.8633333333337,4,5,0,0.4444444444444444,0.5555555555555556,0.0,0
p2_087,2,L,a,R,R,R,R,R,R,R,X,X,,,,,,,L,L,R,R,0,2,prolific2,2350.933938653938,0,7,2,0.0,0.7777777777777778,0.2222222222222222,1
p2_087,3,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L1,L2,R1,R1,0,3,prolific2,2545.618650793651,0,9,0,0.0,1.0,0.0,0
p2_087,2,C,f,,,,X,R,X,X,R,X,X,X,X,,,,L,L,R,R,0,4,prolific2,2435.501772486773,0,2,7,0.0,0.2222222222222222,0.7777777777777778,1
p2_088,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,prolific2,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
p2_088,3,C,a,,,,L,L,L,L,R,L,R,L,R,,,,L1,L1,R1,R1,0,2,prolific2,2449.552857142857,6,3,0,0.6666666666666666,0.3333333333333333,0.0,0
p2_088,3,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R2,R1,0,1,prolific2,2557.5333333333338,9,0,0,1.0,0.0,0.0,0
p2_088,2,R,b,,,,,,,R,L,R,R,R,R,R,R,R,L,L,R,X,1,4,prolific2,2478.97061938062,1,8,0,0.1111111111111111,0.8888888888888888,0.0,0
p2_089,3,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,1,prolific2,2554.155555555556,9,0,0,1.0,0.0,0.0,0
p2_089,2,L,b,X,X,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,4,prolific2,2506.088888888889,0,0,9,0.0,0.0,1.0,1
p2_089,3,R,f,,,,,,,L,L,R,R,R,R,R,R,R,L1,L1,R1,R1,0,2,prolific2,2525.711111111111,2,7,0,0.2222222222222222,0.7777777777777778,0.0,0
p2_089,2,C,a,,,,X,X,X,X,X,X,X,X,R,,,,L,L,R,R,0,3,prolific2,2499.0529365079365,0,1,8,0.0,0.1111111111111111,0.8888888888888888,1
p2_092,3,C,m,,,,L,L,L,L,L,L,R,R,R,,,,L1,L1,R1,R1,0,1,prolific2,2483.569603174604,6,3,0,0.6666666666666666,0.3333333333333333,0.0,0
p2_092,3,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,2,prolific2,2558.988888888889,0,9,0,0.0,1.0,0.0,0
p2_092,2,L,a,L,L,L,L,L,X,X,X,X,,,,,,,L,L,R,R,0,3,prolific2,2524.84303992304,5,0,4,0.5555555555555556,0.0,0.4444444444444444,1
p2_092,2,C,f,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,4,prolific2,2506.0888888888894,0,0,9,0.0,0.0,1.0,1
p2_093,3,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,2,prolific2,2543.3615873015874,0,9,0,0.0,1.0,0.0,0
p2_093,2,L,f,L,L,L,L,L,X,X,X,X,,,,,,,L,L,R,R,0,1,prolific2,2524.84303992304,5,0,4,0.5555555555555556,0.0,0.4444444444444444,1
p2_093,2,R,a,,,,,,,X,X,X,X,X,X,X,R,X,L,L,R,R,0,3,prolific2,2501.8029365079365,0,1,8,0.0,0.1111111111111111,0.8888888888888888,1
p2_093,3,C,b,,,,L,L,R,R,R,R,R,R,R,,,,L1,L1,R1,R1,0,4,prolific2,2493.461111111111,2,7,0,0.2222222222222222,0.7777777777777778,0.0,0
p2_094,2,L,b,X,X,X,X,X,X,X,X,R,,,,,,,L,L,R,R,0,1,prolific2,2488.0529365079365,0,1,8,0.0,0.1111111111111111,0.8888888888888888,1
p2_094,3,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R3,0,4,prolific2,2561.6333333333337,9,0,0,1.0,0.0,0.0,0
p2_094,2,C,a,,,,X,X,X,X,X,R,R,R,R,,,,L,L,R,R,0,2,prolific2,2481.775945165946,0,4,5,0.0,0.4444444444444444,0.5555555555555556,1
p2_094,3,R,f,,,,,,,L,L,L,L,L,L,L,L,L,L1,L1,R1,R1,0,3,prolific2,2433.388888888889,9,0,0,1.0,0.0,0.0,0
p2_095,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,1,prolific2,2506.0888888888894,0,0,9,0.0,0.0,1.0,1
p2_095,2,R,f,,,,,,,L,L,L,L,X,X,X,R,X,L,L,R,R,0,3,prolific2,2442.1207431457437,4,1,4,0.4444444444444444,0.1111111111111111,0.4444444444444444,1
p2_095,3,L,b,L,L,L,R,R,R,R,R,R,,,,,,,L1,L1,R1,X1,1,4,prolific2,2422.0333333333338,3,6,0,0.3333333333333333,0.6666666666666666,0.0,0
p2_095,3,R,a,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,2,prolific2,2555.338888888889,0,9,0,0.0,1.0,0.0,0
p2_096,2,C,f,,,,L,L,L,L,L,L,L,L,L,,,,L,L,R,R,0,3,prolific2,2477.9032017057016,9,0,0,1.0,0.0,0.0,0
p2_096,3,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,2,prolific2,2559.177777777778,0,9,0,0.0,1.0,0.0,0
p2_096,3,C,m,,,,R,R,R,R,R,R,R,R,R,,,,L1,L1,R1,R1,0,4,prolific2,2493.1611111111115,0,9,0,0.0,1.0,0.0,0
p2_096,2,L,a,L,L,L,L,L,L,L,X,X,,,,,,,L,L,R,R,0,1,prolific2,2534.517259037259,7,0,2,0.7777777777777778,0.0,0.2222222222222222,1
p2_098,3,R,a,,,,,,,L,L,L,R,R,R,R,R,R,L1,L1,R1,R1,0,1,prolific2,2508.9822222222224,3,6,0,0.3333333333333333,0.6666666666666666,0.0,0
p2_098,2,C,m,,,,X,X,X,X,X,X,X,R,R,,,,L,L,R,R,0,2,prolific2,2492.815052910053,0,2,7,0.0,0.2222222222222222,0.7777777777777778,1
p2_098,2,R,f,,,,,,,X,X,X,X,X,X,X,R,R,L,L,R,R,0,4,prolific2,2513.9808465608467,0,2,7,0.0,0.2222222222222222,0.7777777777777778,1
p2_098,3,L,b,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R2,R1,0,3,prolific2,2554.777777777778,9,0,0,1.0,0.0,0.0,0
p2_099,2,L,m,L,L,L,L,L,L,R,R,R,,,,,,,L,L,R,R,0,4,prolific2,2503.126341621342,6,3,0,0.6666666666666666,0.3333333333333333,0.0,0
p2_099,3,C,a,,,,L,L,L,R,R,R,R,R,R,,,,L1,L1,R1,R1,0,3,prolific2,2492.905555555556,3,6,0,0.3333333333333333,0.6666666666666666,0.0,0
p2_099,3,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,1,prolific2,2562.811111111111,9,0,0,1.0,0.0,0.0,0
p2_099,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,2,prolific2,2553.2817065342065,0,9,0,0.0,1.0,0.0,0
p2_100,2,L,b,R,R,R,R,R,R,R,R,R,,,,,,,L,L,R,R,0,4,prolific2,2402.524696877197,0,9,0,0.0,1.0,0.0,0
p2_100,3,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,1,prolific2,2533.3105555555558,9,0,0,1.0,0.0,0.0,0
p2_100,3,R,f,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,2,prolific2,2562.088888888889,0,9,0,0.0,1.0,0.0,0
p2_100,2,C,a,,,,L,L,X,X,X,X,X,X,R,,,,L,L,R,R,0,3,prolific2,2486.345767195768,2,1,6,0.2222222222222222,0.1111111111111111,0.6666666666666666,1
p2_101,3,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L1,L1,R1,R1,0,4,prolific2,2482.541168831169,0,9,0,0.0,1.0,0.0,0
p2_101,2,R,a,,,,,,,X,X,X,X,X,X,X,R,X,X,L,R,R,1,1,prolific2,2435.574047619048,0,1,8,0.0,0.1111111111111111,0.8888888888888888,1
p2_101,3,R,m,,,,,,,L,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,2,prolific2,2544.594444444445,1,8,0,0.1111111111111111,0.8888888888888888,0.0,0
p2_101,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,prolific2,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
p2_102,3,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,3,prolific2,2558.988888888889,9,0,0,1.0,0.0,0.0,0
p2_102,3,C,f,,,,X,X,X,X,X,X,X,X,X,,,,L1,L1,R1,R1,0,2,prolific2,2508.0888888888894,0,0,9,0.0,0.0,1.0,1
p2_102,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,4,prolific2,2553.2817065342065,0,9,0,0.0,1.0,0.0,0
p2_102,2,C,b,,,,L,L,L,L,L,X,X,X,X,,,,L,L,R,R,0,1,prolific2,2477.1562578162584,5,0,4,0.5555555555555556,0.0,0.4444444444444444,1
p2_103,2,R,a,,,,,,,L,L,L,L,R,R,R,R,R,L,L,R,R,0,3,prolific2,2487.083068783069,4,5,0,0.4444444444444444,0.5555555555555556,0.0,0
p2_103,2,L,f,L,L,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,2,prolific2,2513.9808465608467,2,0,7,0.2222222222222222,0.0,0.7777777777777778,1
p2_103,3,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,4,prolific2,2558.988888888889,0,9,0,0.0,1.0,0.0,0
p2_103,3,C,b,,,,L,L,L,L,L,L,X,X,X,,,,L1,L1,R1,R1,0,1,prolific2,2474.968888888889,6,0,3,0.6666666666666666,0.0,0.3333333333333333,1
p2_104,2,C,f,,,,L,L,L,L,L,L,L,L,L,,,,L,L,L,R,1,3,prolific2,2405.98267484694,9,0,0,1.0,0.0,0.0,0
p2_104,3,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L1,L1,R1,R1,0,2,prolific2,2508.0888888888894,0,0,9,0.0,0.0,1.0,1
p2_104,2,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,4,prolific2,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
p2_104,3,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,1,prolific2,2558.988888888889,0,9,0,0.0,1.0,0.0,0
p2_105,3,R,a,,,,,,,L,L,X,X,X,R,X,X,R,R3,L1,R1,R2,1,1,prolific2,2361.927777777778,2,2,5,0.2222222222222222,0.2222222222222222,0.5555555555555556,1
p2_105,2,C,m,,,,L,X,X,X,L,L,X,X,R,,,,L,L,R,R,0,3,prolific2,2444.312142857143,3,1,5,0.3333333333333333,0.1111111111111111,0.5555555555555556,1
p2_105,2,R,f,,,,,,,X,X,X,X,X,X,X,X,X,L,L,R,R,0,2,prolific2,2506.0888888888885,0,0,9,0.0,0.0,1.0,1
p2_105,3,L,b,L,R,R,R,R,R,R,R,R,,,,,,,L3,L3,R1,R1,0,4,prolific2,2442.3000000000006,1,8,0,0.1111111111111111,0.8888888888888888,0.0,0
p2_106,2,L,a,X,X,X,X,X,X,X,X,R,,,,,,,L,L,R,R,0,2,prolific2,2488.0529365079365,0,1,8,0.0,0.1111111111111111,0.8888888888888888,1
p2_106,2,C,f,,,,R,R,R,R,R,R,R,R,R,,,,X,L,R,R,1,1,prolific2,2444.068757261257,0,9,0,0.0,1.0,0.0,0
p2_106,3,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L1,L2,R1,X1,1,4,prolific2,2507.955555555556,0,9,0,0.0,1.0,0.0,0
p2_106,3,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L3,L3,R2,R1,0,3,prolific2,2504.555555555556,0,0,9,0.0,0.0,1.0,1
p2_107,3,C,a,,,,L,L,L,L,L,L,L,X,X,,,,X1,L1,R1,R1,1,1,prolific2,2429.8500000000004,7,0,2,0.7777777777777778,0.0,0.2222222222222222,1
p2_107,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,X,1,3,prolific2,2506.9316022866024,0,9,0,0.0,1.0,0.0,0
p2_107,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,4,prolific2,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
p2_107,3,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,2,prolific2,2558.988888888889,9,0,0,1.0,0.0,0.0,0
p2_108,2,C,m,,,,R,L,L,L,L,L,L,R,R,,,,L,L,L,R,1,3,prolific2,2343.492186147186,6,3,0,0.6666666666666666,0.3333333333333333,0.0,0
p2_108,3,L,b,L,L,L,L,X,X,R,R,R,,,,,,,L1,L2,R1,R1,0,2,prolific2,2486.9833333333336,4,3,2,0.4444444444444444,0.3333333333333333,0.2222222222222222,1
p2_108,2,R,f,,,,,,,X,X,X,X,X,X,X,R,R,L,L,R,R,0,4,prolific2,2513.9808465608467,0,2,7,0.0,0.2222222222222222,0.7777777777777778,1
p2_108,3,R,a,,,,,,,L,L,R,R,R,R,R,R,R,L1,L1,R1,R1,0,1,prolific2,2525.4555555555557,2,7,0,0.2222222222222222,0.7777777777777778,0.0,0
p2_109,3,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,X1,1,4,prolific2,2513.6888888888893,0,9,0,0.0,1.0,0.0,0
p2_109,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,1,prolific2,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
p2_109,2,R,a,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,2,prolific2,2553.2817065342065,0,9,0,0.0,1.0,0.0,0
p2_109,3,C,b,,,,L,L,R,R,R,R,R,R,R,,,,L1,L1,R1,R1,0,3,prolific2,2493.461111111111,2,7,0,0.2222222222222222,0.7777777777777778,0.0,0
p2_110,3,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,1,prolific2,2558.988888888889,9,0,0,1.0,0.0,0.0,0
p2_110,2,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L,L,R,R,0,2,prolific2,2477.903201705702,0,9,0,0.0,1.0,0.0,0
p2_110,3,C,f,,,,L,L,L,L,R,R,R,R,R,,,,L1,L1,R1,R1,0,3,prolific2,2489.6888888888893,4,5,0,0.4444444444444444,0.5555555555555556,0.0,0
p2_110,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,X,X,2,4,prolific2,2468.94878972879,0,9,0,0.0,1.0,0.0,0
p2_112,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,X,R,1,2,prolific2,2503.577053687053,0,9,0,0.0,1.0,0.0,0
p2_112,3,L,f,L,L,L,L,L,R,R,R,R,,,,,,,L1,L1,R1,R1,0,4,prolific2,2498.1,5,4,0,0.5555555555555556,0.4444444444444444,0.0,0
p2_112,3,C,a,,,,L,L,L,L,L,L,L,R,R,,,,L1,L1,R1,R1,0,3,prolific2,2488.138888888889,7,2,0,0.7777777777777778,0.2222222222222222,0.0,0
p2_112,2,L,m,X,L,X,L,L,L,X,X,X,,,,,,,L,L,R,R,0,1,prolific2,2476.3913900913903,4,0,5,0.4444444444444444,0.0,0.5555555555555556,1
p2_113,2,C,a,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,4,prolific2,2506.0888888888894,0,0,9,0.0,0.0,1.0,1
p2_113,3,L,m,L,L,L,L,L,L,L,X,X,,,,,,,L1,L1,R1,R1,0,1,prolific2,2540.8,7,0,2,0.7777777777777778,0.0,0.2222222222222222,1
p2_113,3,R,f,,,,,,,X,X,X,X,R,R,R,R,R,L1,L1,R1,R1,0,2,prolific2,2530.1444444444446,0,5,4,0.0,0.5555555555555556,0.4444444444444444,1
p2_113,2,L,b,L,L,L,L,X,X,X,X,X,,,,,,,L,L,R,R,0,3,prolific2,2521.222972582973,4,0,5,0.4444444444444444,0.0,0.5555555555555556,1
p2_114,2,C,f,,,,L,L,L,L,L,L,L,L,L,,,,L,L,R,R,0,3,prolific2,2477.9032017057016,9,0,0,1.0,0.0,0.0,0
p2_114,3,C,m,,,,L,L,L,L,L,L,X,X,X,,,,L1,L1,R1,R1,0,1,prolific2,2477.789603174603,6,0,3,0.6666666666666666,0.0,0.3333333333333333,1
p2_114,2,L,a,L,X,X,X,X,X,X,R,R,,,,,,,L,L,R,R,0,2,prolific2,2476.179973544974,1,2,6,0.1111111111111111,0.2222222222222222,0.6666666666666666,1
p2_114,3,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,L3,1,4,prolific2,2469.4000000000005,0,9,0,0.0,1.0,0.0,0
p2_115,2,R,a,,,,,,,L,L,L,X,X,X,R,R,R,L,L,R,R,0,1,prolific2,2474.5122222222226,3,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1
p2_115,2,L,f,L,L,L,L,L,R,R,R,R,,,,,,,L,L,R,R,0,4,prolific2,2487.083068783069,5,4,0,0.5555555555555556,0.4444444444444444,0.0,0
p2_115,3,C,b,,,,L,L,L,L,R,R,R,R,R,,,,L1,L1,R1,R1,0,3,prolific2,2489.2900000000004,4,5,0,0.4444444444444444,0.5555555555555556,0.0,0
p2_115,3,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,2,prolific2,2558.988888888889,0,9,0,0.0,1.0,0.0,0
p2_116,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,2,prolific2,2553.2817065342065,0,9,0,0.0,1.0,0.0,0
p2_116,3,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,4,prolific2,2554.955555555556,9,0,0,1.0,0.0,0.0,0
p2_116,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,prolific2,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
p2_116,3,C,a,,,,R,R,R,R,R,R,X,X,X,,,,L1,L1,R1,R1,0,1,prolific2,2413.405555555556,0,6,3,0.0,0.6666666666666666,0.3333333333333333,1
p2_117,2,L,f,L,L,L,L,L,R,R,R,R,,,,,,,X,L,R,R,1,4,prolific2,2444.914567099567,5,4,0,0.5555555555555556,0.4444444444444444,0.0,0
p2_117,2,R,a,,,,,,,L,L,L,L,L,L,L,R,R,L,L,R,R,0,1,prolific2,2436.299504199504,7,2,0,0.7777777777777778,0.2222222222222222,0.0,0
p2_117,3,R,m,,,,,,,L,R,R,R,R,R,R,R,R,X1,L1,R1,R1,1,3,prolific2,2502.177777777778,1,8,0,0.1111111111111111,0.8888888888888888,0.0,0
p2_117,3,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L1,L2,R1,R1,0,2,prolific2,2475.226507936508,0,9,0,0.0,1.0,0.0,0
p2_118,2,L,b,L,R,R,R,R,R,R,R,R,,,,,,,L,L,R,R,0,4,prolific2,2419.054901949902,1,8,0,0.1111111111111111,0.8888888888888888,0.0,0
p2_118,3,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R3,0,2,prolific2,2561.6333333333337,9,0,0,1.0,0.0,0.0,0
p2_118,3,R,f,,,,,,,X,X,X,X,X,X,X,X,R,L1,L1,R1,R1,0,1,prolific2,2512.677777777778,0,1,8,0.0,0.1111111111111111,0.8888888888888888,1
p2_118,2,C,a,,,,L,L,L,X,X,X,X,X,X,,,,L,L,R,R,0,3,prolific2,2487.067222222222,3,0,6,0.3333333333333333,0.0,0.6666666666666666,1
p2_119,2,R,f,,,,,,,L,X,X,X,X,X,X,X,X,L,L,R,R,0,3,prolific2,2488.0529365079365,1,0,8,0.1111111111111111,0.0,0.8888888888888888,1
p2_119,3,L,b,L,L,X,X,X,X,X,X,X,,,,,,,L1,L1,R1,R1,0,2,prolific2,2517.3,2,0,7,0.2222222222222222,0.0,0.7777777777777778,1
p2_119,2,C,m,,,,L,X,X,X,X,X,X,X,R,,,,L,L,R,R,0,1,prolific2,2492.1836507936505,1,1,7,0.1111111111111111,0.1111111111111111,0.7777777777777778,1
