P_ID,DEPTH,LOC,ORDER,I09,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I01,I03,I29,I31,ERRORS,STIMULI,POOL,SCORE
p1_048,2,L,b,L,L,L,L,L,L,L,L,X,,,,,,,L,L,R,R,0,1,prolific1,2542.2136204536205
p1_049,2,L,a,X,X,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,3,prolific1,2506.088888888889
p1_049,2,C,f,,,,X,X,X,X,X,R,R,R,R,,,,L,L,R,R,0,2,prolific1,2481.775945165946
p1_049,3,R,b,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L2,R1,X1,1,4,prolific1,2507.955555555556
p1_049,3,C,m,,,,L2,L2,L3,L3,R3,L3,L3,L3,L3,,,,L1,L1,R1,R1,0,1,prolific1,2449.058888888889
p1_050,2,R,m,,,,,,,L,L,L,L,L,R,R,R,R,L,L,R,R,0,3,prolific1,2470.6035594035598
p1_050,3,L,a,L2,L2,L2,L2,L2,L2,R2,L2,L2,,,,,,,L1,L1,R1,R1,0,1,prolific1,2519.3880687830692
p1_050,2,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L,L,R,R,0,4,prolific1,2477.903201705702
p1_050,3,C,f,,,,L2,L2,L2,L2,L2,R2,R2,R2,R2,,,,L1,L1,R1,R1,0,2,prolific1,2484.066507936508
p1_051,3,C,a,,,,L2,L2,L2,L2,L2,L2,X1,X1,X1,,,,X1,L1,R1,R1,1,1,prolific1,2420.122936507936
p1_051,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,prolific1,2553.2817065342065
p1_051,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,2,prolific1,2553.2817065342065
